human_intent\pred_intent,delay_claim,ticket_change_refund,timetable_platform,lost_property,complaint_service,fare_ticketing,accessibility_assistance,howto_guidance,support_access_followup,other_out_of_scope,n
delay_claim,18,0,4,1,0,0,0,0,0,1,24
ticket_change_refund,2,17,0,0,1,0,0,3,0,0,23
timetable_platform,0,1,17,1,0,0,0,1,1,0,21
lost_property,0,0,0,15,1,0,0,0,0,0,16
complaint_service,0,0,0,0,16,0,1,2,1,3,23
fare_ticketing,0,0,0,0,0,18,0,0,0,0,18
accessibility_assistance,0,0,0,0,0,0,14,0,0,0,14
howto_guidance,0,0,0,0,2,2,0,13,0,0,17
support_access_followup,0,0,0,0,0,0,0,0,15,0,15
other_out_of_scope,0,2,2,1,1,0,4,1,2,16,29
